,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
22288,2020-01-03,BR,Brazil,AMRO,0,0,0,0
22289,2020-01-04,BR,Brazil,AMRO,0,0,0,0
22290,2020-01-05,BR,Brazil,AMRO,0,0,0,0
22291,2020-01-06,BR,Brazil,AMRO,0,0,0,0
22292,2020-01-07,BR,Brazil,AMRO,0,0,0,0
22293,2020-01-08,BR,Brazil,AMRO,0,0,0,0
22294,2020-01-09,BR,Brazil,AMRO,0,0,0,0
22295,2020-01-10,BR,Brazil,AMRO,0,0,0,0
22296,2020-01-11,BR,Brazil,AMRO,0,0,0,0
22297,2020-01-12,BR,Brazil,AMRO,0,0,0,0
22298,2020-01-13,BR,Brazil,AMRO,0,0,0,0
22299,2020-01-14,BR,Brazil,AMRO,0,0,0,0
22300,2020-01-15,BR,Brazil,AMRO,0,0,0,0
22301,2020-01-16,BR,Brazil,AMRO,0,0,0,0
22302,2020-01-17,BR,Brazil,AMRO,0,0,0,0
22303,2020-01-18,BR,Brazil,AMRO,0,0,0,0
22304,2020-01-19,BR,Brazil,AMRO,0,0,0,0
22305,2020-01-20,BR,Brazil,AMRO,0,0,0,0
22306,2020-01-21,BR,Brazil,AMRO,0,0,0,0
22307,2020-01-22,BR,Brazil,AMRO,0,0,0,0
22308,2020-01-23,BR,Brazil,AMRO,0,0,0,0
22309,2020-01-24,BR,Brazil,AMRO,0,0,0,0
22310,2020-01-25,BR,Brazil,AMRO,0,0,0,0
22311,2020-01-26,BR,Brazil,AMRO,0,0,0,0
22312,2020-01-27,BR,Brazil,AMRO,0,0,0,0
22313,2020-01-28,BR,Brazil,AMRO,0,0,0,0
22314,2020-01-29,BR,Brazil,AMRO,0,0,0,0
22315,2020-01-30,BR,Brazil,AMRO,0,0,0,0
22316,2020-01-31,BR,Brazil,AMRO,0,0,0,0
22317,2020-02-01,BR,Brazil,AMRO,0,0,0,0
22318,2020-02-02,BR,Brazil,AMRO,0,0,0,0
22319,2020-02-03,BR,Brazil,AMRO,0,0,0,0
22320,2020-02-04,BR,Brazil,AMRO,0,0,0,0
22321,2020-02-05,BR,Brazil,AMRO,0,0,0,0
22322,2020-02-06,BR,Brazil,AMRO,0,0,0,0
22323,2020-02-07,BR,Brazil,AMRO,0,0,0,0
22324,2020-02-08,BR,Brazil,AMRO,0,0,0,0
22325,2020-02-09,BR,Brazil,AMRO,0,0,0,0
22326,2020-02-10,BR,Brazil,AMRO,0,0,0,0
22327,2020-02-11,BR,Brazil,AMRO,0,0,0,0
22328,2020-02-12,BR,Brazil,AMRO,0,0,0,0
22329,2020-02-13,BR,Brazil,AMRO,0,0,0,0
22330,2020-02-14,BR,Brazil,AMRO,0,0,0,0
22331,2020-02-15,BR,Brazil,AMRO,0,0,0,0
22332,2020-02-16,BR,Brazil,AMRO,0,0,0,0
22333,2020-02-17,BR,Brazil,AMRO,0,0,0,0
22334,2020-02-18,BR,Brazil,AMRO,0,0,0,0
22335,2020-02-19,BR,Brazil,AMRO,0,0,0,0
22336,2020-02-20,BR,Brazil,AMRO,0,0,0,0
22337,2020-02-21,BR,Brazil,AMRO,0,0,0,0
22338,2020-02-22,BR,Brazil,AMRO,0,0,0,0
22339,2020-02-23,BR,Brazil,AMRO,0,0,0,0
22340,2020-02-24,BR,Brazil,AMRO,0,0,0,0
22341,2020-02-25,BR,Brazil,AMRO,0,0,0,0
22342,2020-02-26,BR,Brazil,AMRO,5,5,0,0
22343,2020-02-27,BR,Brazil,AMRO,0,5,0,0
22344,2020-02-28,BR,Brazil,AMRO,0,5,0,0
22345,2020-02-29,BR,Brazil,AMRO,0,5,0,0
22346,2020-03-01,BR,Brazil,AMRO,1,6,0,0
22347,2020-03-02,BR,Brazil,AMRO,0,6,0,0
22348,2020-03-03,BR,Brazil,AMRO,0,6,0,0
22349,2020-03-04,BR,Brazil,AMRO,1,7,0,0
22350,2020-03-05,BR,Brazil,AMRO,4,11,0,0
22351,2020-03-06,BR,Brazil,AMRO,1,12,0,0
22352,2020-03-07,BR,Brazil,AMRO,5,17,0,0
22353,2020-03-08,BR,Brazil,AMRO,6,23,0,0
22354,2020-03-09,BR,Brazil,AMRO,6,29,0,0
22355,2020-03-10,BR,Brazil,AMRO,0,29,0,0
22356,2020-03-11,BR,Brazil,AMRO,9,38,0,0
22357,2020-03-12,BR,Brazil,AMRO,18,56,0,0
22358,2020-03-13,BR,Brazil,AMRO,25,81,0,0
22359,2020-03-14,BR,Brazil,AMRO,44,125,0,0
22360,2020-03-15,BR,Brazil,AMRO,0,125,0,0
22361,2020-03-16,BR,Brazil,AMRO,79,204,0,0
22362,2020-03-17,BR,Brazil,AMRO,34,238,0,0
22363,2020-03-18,BR,Brazil,AMRO,57,295,1,1
22364,2020-03-19,BR,Brazil,AMRO,133,428,3,4
22365,2020-03-20,BR,Brazil,AMRO,193,621,0,4
22366,2020-03-21,BR,Brazil,AMRO,283,904,7,11
22367,2020-03-22,BR,Brazil,AMRO,0,904,0,11
22368,2020-03-23,BR,Brazil,AMRO,0,904,0,11
22369,2020-03-24,BR,Brazil,AMRO,642,1546,14,25
22370,2020-03-25,BR,Brazil,AMRO,655,2201,21,46
22371,2020-03-26,BR,Brazil,AMRO,232,2433,11,57
22372,2020-03-27,BR,Brazil,AMRO,0,2433,0,57
22373,2020-03-28,BR,Brazil,AMRO,482,2915,20,77
22374,2020-03-29,BR,Brazil,AMRO,502,3417,15,92
22375,2020-03-30,BR,Brazil,AMRO,487,3904,22,114
22376,2020-03-31,BR,Brazil,AMRO,352,4256,22,136
22377,2020-04-01,BR,Brazil,AMRO,323,4579,23,159
22378,2020-04-02,BR,Brazil,AMRO,1138,5717,42,201
22379,2020-04-03,BR,Brazil,AMRO,1119,6836,40,241
22380,2020-04-04,BR,Brazil,AMRO,1074,7910,58,299
22381,2020-04-05,BR,Brazil,AMRO,1146,9056,60,359
22382,2020-04-06,BR,Brazil,AMRO,1222,10278,73,432
22383,2020-04-07,BR,Brazil,AMRO,852,11130,54,486
22384,2020-04-08,BR,Brazil,AMRO,926,12056,67,553
22385,2020-04-09,BR,Brazil,AMRO,1661,13717,114,667
22386,2020-04-10,BR,Brazil,AMRO,2210,15927,133,800
22387,2020-04-11,BR,Brazil,AMRO,1930,17857,141,941
22388,2020-04-12,BR,Brazil,AMRO,1781,19638,115,1056
22389,2020-04-13,BR,Brazil,AMRO,1089,20727,68,1124
22390,2020-04-14,BR,Brazil,AMRO,1442,22169,99,1223
22391,2020-04-15,BR,Brazil,AMRO,1261,23430,105,1328
22392,2020-04-16,BR,Brazil,AMRO,1832,25262,204,1532
22393,2020-04-17,BR,Brazil,AMRO,3058,28320,204,1736
